Player,Season,Team,Offensive Archetype,Minutes,Pos,Age,SPI,O-SPI,D-SPI,WAR,Value Added
Nikola Jokic,2022-23,DEN,Post Scorer,2323,C,28,7.31,5.55,1.76,13.8,45639291
Giannis Antetokounmpo,2022-23,MIL,Shot Creator,2024,PF,28,5.87,4.73,1.14,10.4,34904325
Joel Embiid,2022-23,PHI,Shot Creator,2284,C,29,5.86,3.78,2.08,11.7,39133842
Jimmy Butler,2022-23,MIA,Shot Creator,2138,SF,33,5.01,4.27,0.74,9.9,33412331
Anthony Davis,2022-23,LAL,Shot Creator,1905,C,30,4.9,2.21,2.69,8.7,29559660
Jaren Jackson Jr.,2022-23,MEM,Versatile Big,1787,C,23,4.52,1.11,3.41,7.8,26572002
Jayson Tatum,2022-23,BOS,Shot Creator,2732,PF,25,4.42,4.29,0.13,11.7,39213864
Donovan Mitchell,2022-23,CLE,Primary Ball Handler,2432,SG,26,4.31,3.58,0.73,10.3,34566180
Luka Doncic,2022-23,DAL,Shot Creator,2391,PG,24,4.22,5.03,-0.81,10.0,33616296
LeBron James,2022-23,LAL,Shot Creator,1954,PF,38,4.11,3.86,0.25,8.0,27349265
Kawhi Leonard,2022-23,LAC,Shot Creator,1748,SF,31,4.05,3.01,1.04,7.1,24455546
Nic Claxton,2022-23,BRK,Roll + Cut Big,2271,C,23,3.85,0.64,3.21,9.0,30383900
Ja Morant,2022-23,MEM,Slasher,1948,PG,23,3.81,3.73,0.09,7.7,26188352
Shai Gilgeous-Alexander,2022-23,OKC,Shot Creator,2416,PG,24,3.79,3.58,0.21,9.5,31923862
Damian Lillard,2022-23,POR,Shot Creator,2107,PG,32,3.73,5.99,-2.26,8.2,27841251
James Harden,2022-23,PHI,Shot Creator,2135,PG,33,3.59,3.45,0.14,8.1,27608553
Stephen Curry,2022-23,GSW,Primary Ball Handler,1941,PG,35,3.59,4.06,-0.47,7.4,25257985
Jrue Holiday,2022-23,MIL,Primary Ball Handler,2183,PG,32,3.47,1.88,1.58,8.1,27668830
Kevin Durant,2022-23,PHO,Shot Creator,1672,SF,34,3.38,2.65,0.73,6.1,21302728
Fred VanVleet,2022-23,TOR,Primary Ball Handler,2535,PG,29,3.25,2.98,0.26,9.1,30751500
Tyrese Haliburton,2022-23,IND,Primary Ball Handler,1883,PG,23,3.22,3.49,-0.26,6.7,23205563
Paul George,2022-23,LAC,Shot Creator,1939,SG,32,3.15,2.14,1.02,6.8,23565909
Domantas Sabonis,2022-23,SAC,Roll + Cut Big,2736,C,26,3.14,2.34,0.8,9.6,32498087
Darius Garland,2022-23,CLE,Primary Ball Handler,2447,PG,23,3.12,2.91,0.21,8.6,29140862
